Title,DOI,Publication_type,Publication_year,Taxa,Number_species,Single-Multi-species,Number_states,FIA_region_list,FIA_region_grouped,Topic,Data_source,Summary_level,Theme
Assessing the sensitivity of avian species abundance to land cover and climate,10.1002/ecs2.1359,Journal Article,2016,Birds,5,Multi,19,"Northern, Southern",Multiple,Conservation,Raster,NBCD,species abundance and density
"Catastrophic storms, forest disturbance, and the natural history of Swainson's warbler",10.1002/ece3.11099,Journal Article,2024,Birds,1,Single,15,"Northern, Southern",Multiple,Ecology,FIADB,County,species abundance and density
Testing alternative hypotheses for the cause of population declines: The case of the Red-headed Woodpecker ,10.1650/CONDOR-16-101.1,Journal Article,2017,Birds,4,Multi,12,"Northern, Southern",Multiple,Conservation,FIADB,Study area,species abundance and density
Changes in early-successional hardwood forest area in four bird conservation regions across four decades,,Report,2012,Birds,,Multi,11,"Northern, Southern",Multiple,Conservation,FIADB,County,habitat suitability and quality
Flammulated owl (Otus flammeolus) breeding habitat abundance in ponderosa pine forests of the United States,,Journal Article,2009,Birds,1,Single,11,"Rocky Mountain, Pacific Northwest",Multiple,Conservation,FIADB,State,habitat suitability and quality
Population Trends for Eastern Scrub-Shrub Birds Related to Availability of Small-Diameter Upland Hardwood Forests,10.1007/978-94-007-1620-9_9,Book chapter,2011,Birds,11,Multi,10,"Northern, Southern",Multiple,Conservation,FIADB,County,species abundance and density
Using routinely collected regional forest inventory data to conclude that resting habitat for the fisher (Pekania pennanti) in California is stable over ∼20 years ,10.1016/j.foreco.2017.12.025 ,Journal Article,2017,Mammals,1,Single,1,Pacific Northwest,Pacific Northwest,Conservation,FIADB,Regression + MaxEnt,habitat suitability and quality
Predicted Occurrence of Eastern Newts (Notophthalmus viridescens viridescens) across the Northeastern United States,10.1655/Herpetologica-D-22-00034,Journal Article,2024,Amphibians ,1,Single,9,Northern,Northern,Ecology,Raster,“Forest Groups in the Northeast”,species occurrence and distribution
Wildlife Responses to Small-Scale Tree Thinning in Central New Mexico Pinyon-Juniper and Ponderosa Pine Woodlands,,Report,2020,Wildlife,10,Multi,1,Rocky Mountain,Rocky Mountain,Management,Direct,Plot,habitat suitability and quality
Conservation and management of eastern big-eared bats (corynorhinus spp.),,Report,2011,Mammals,1,Single,9,Southern,Southern,Conservation,FIADB,Ownership,habitat suitability and quality
