"Deployment_ID","X","Y"
"BAC.TRMR_Rec002_Mem049.20200901",-1245340.70536423,2896914.10417269
"BAC.TRMR_Rec004_Mem102.20200831",-1247503.19275152,2898353.19119652
"BAC.TRMR_Rec014_Mem020.20200831",-1250868.48269952,2896775.56590351
"BAC.TRMR_Rec025_Mem076.20200831",-1251585.901211,2895961.48278887
"BAC.TRMR_Rec039_Mem094.20200831",-1251361.4924285,2898329.00995755
"BAC.TRMR_Rec041_Mem099.20200831",-1248919.09848926,2898480.2982014
"BAC.TRMR_Rec043_Mem081.20200901",-1245761.54691177,2898342.16990414
"BAC.TRMR_Rec044_Mem065.20200831",-1250895.22667507,2897788.077718
"BAC.TRMR_Rec046_Mem107.20200901",-1246246.78321165,2897408.25874769
"BAC.TRMR_Rec050_Mem060.20200831",-1250202.84505714,2896972.95672913
"BAC.TRMR_Rec051_Mem036.20200831",-1250182.92698095,2897711.77741084
"BAC.TRMR_Rec052_Mem038.20200901",-1246725.13326549,2897602.77532765
"BAC.TRMR_Rec058_Mem097.20200831",-1250955.85184719,2895627.6720863
"BAC.TRMR_Rec063_Mem079.20200831",-1251009.28266505,2894739.09608195
"BAC.TRMR_Rec064_Mem061.20200831",-1251964.88026367,2894904.63361231
"C06",2005512.31087385,2314213.20877302
"C12",2005981.03551783,2313800.24353131
"CA_Forest_Pepperwood_Preserve_20_01",-2275145.5332565,2052688.44881444
"CA_Forest_Pepperwood_Preserve_20_02_reupload",-2274198.62761818,2052391.65280282
"CA_Forest_Pepperwood_Preserve_20_03",-2276344.49181937,2052019.8189042
"CA_Forest_Pepperwood_Preserve_20_04",-2275470.04024725,2051720.4966017
"CA_Forest_Pepperwood_Preserve_20_06",-2274508.50972862,2051442.80548338
"CA_Forest_Pepperwood_Preserve_20_07",-2273550.05332557,2051154.46259325
"CA_Forest_Pepperwood_Preserve_20_08",-2275658.48965543,2050772.74345974
"CA_Forest_Pepperwood_Preserve_20_09",-2273842.31361418,2050194.69190285
"CA_Forest_Pepperwood_Preserve_20_10",-2276283.06701059,2048797.11108411
"CA_Forest_Pepperwood_Preserve_20_11",-2272859.76501377,2049905.35723991
"CA_Forest_Pepperwood_Preserve_20_12",-2273171.39148276,2048937.17213156
"CA_Forest_Pepperwood_Preserve_20_13",-2277295.51823132,2049005.63649645
"CA_Forest_Sierra Nevada_20_01",-2047832.12701554,1852855.82134572
"CA_Forest_Sierra Nevada_20_02",-2047749.9142966,1853076.60748772
"CA_Forest_Sierra Nevada_20_03",-2047677.89498161,1852672.19843724
"CA_Forest_Sierra Nevada_20_04",-2047602.58083489,1852409.16111676
"CA_Forest_Sierra Nevada_20_05",-2047490.52241809,1852897.53903722
"CA_Forest_Sierra Nevada_20_06",-2047324.4018147,1853128.26944355
"CA_Forest_Sierra Nevada_20_07",-2047209.4522912,1853606.66644503
"CA_Forest_Sierra Nevada_20_08",-2047883.52183743,1852510.45139273
"CA_Grassland_Carrizo Plains_20_01",-2139923.63951109,1641973.04176538
"CA_Grassland_Carrizo Plains_20_02",-2144680.90275597,1637420.12449155
"CA_Grassland_Carrizo Plains_20_03",-2139174.45418171,1638449.39130386
"CA_Grassland_Carrizo Plains_20_06",-2140820.26163753,1639826.74466944
"CA_Grassland_Carrizo Plains_20_08",-2136994.97881414,1639162.21317638
"CA_Grassland_Carrizo Plains_20_09",-2145070.681221,1637496.67684336
"CA_Grassland_Carrizo Plains_20_11",-2139818.14398898,1638785.42825172
"CA_Grassland_Carrizo Plains_20_13",-2139938.52842488,1640993.15134739
"CA_Grassland_Carrizo Plains_20_14",-2138443.60302105,1638970.55475624
"CO_GrasslandOak_USAFA_20_01",-760972.51958744,1807494.2137462
"CO_GrasslandOak_USAFA_20_03",-761314.477254689,1807534.14235172
"CO_GrasslandOak_USAFA_20_05",-761578.036356674,1807849.29533712
"CO_GrasslandOak_USAFA_20_06",-762835.669341094,1811391.89555181
"CO_GrasslandOak_USAFA_20_07",-763196.813099243,1812362.47777099
"CO_GrasslandOak_USAFA_20_08",-762976.027479285,1811759.70171065
"CO_GrasslandOak_USAFA_20_10",-762364.082777637,1811486.06036559
"CO_GrasslandOak_USAFA_20_11",-758754.299125387,1808418.01055753
"CO_GrasslandOak_USAFA_20_12",-758544.406359878,1808395.02449587
"CO_GrasslandOak_USAFA_20_13",-758284.222536375,1808421.38136571
"CO_GrasslandOak_USAFA_20_14",-758082.105339557,1808481.30938071
"CO_GrasslandOak_USAFA_20_15",-762838.149571376,1810778.58933206
"CO_GrasslandOak_USAFA_20_17",-758289.576291428,1811953.20612964
"CO_GrasslandOak_USAFA_20_18",-758345.405166135,1811475.49597445
"CO_GrasslandOak_USAFA_20_19",-759866.086987659,1810197.04351968
"CO_GrasslandOak_USAFA_20_20",-757891.136527567,1813571.89106739
"CO_GrasslandOak_USAFA_20_21",-758334.476787751,1813482.72542946
"CO_GrasslandOak_USAFA_20_22",-759846.998666041,1814137.53087215
"CO_GrasslandOak_USAFA_20_23",-759470.303939947,1813882.75263737
"CO_GrasslandOak_USAFA_20_24",-758059.842318895,1814237.17518115
"Days Fork Trail.USA.2020",-1304520.46218136,2068466.41315631
"Desolation Wasatch.USA.2020",-1312026.78334484,2071406.63969283
"FL_Forest_Melrose_20_02",1350306.5632603,836243.647532919
"FL_Forest_Melrose_20_03",1350314.67961535,835780.707697601
"FL_Forest_Melrose_20_04",1352390.62179885,836782.102658212
"FL_Forest_Melrose_20_05",1350650.89776164,836637.858319711
"FL_Forest_Melrose_20_06",1352153.94245567,835486.725648773
"FL_Forest_Melrose_20_08",1352423.63754894,836106.466222206
"FL_Forest_Melrose_20_09",1352458.48851565,836424.453834106
"FL_Forest_Melrose_20_11",1350626.34500239,835809.056845255
"FL_Forest_Melrose_20_13",1352282.8709034,837092.338291674
"FL_Forest_Melrose_20_14",1350473.46188534,836443.331320653
"FL_Forest_Melrose_20_15",1350924.66531301,835716.594714548
"LC_03.Fall.USA.2020",-1316419.25727431,2060209.10224369
"Lake Blanche.USA.2020",-1310664.07904357,2063555.46313272
"Little Cottonwood.Dpat.USA.2020",-1311870.52063408,2059773.09389584
"MA_Forest_Grafton_20_01",1970936.9669135,2388714.69780077
"MA_Forest_Grafton_20_03",1970828.2089533,2388456.24685626
"MA_Forest_Grafton_20_04",1970916.03172813,2388094.28606976
"MA_Forest_Grafton_20_05",1971161.2745787,2387921.4263188
"MA_Forest_Grafton_20_07",1971240.35214025,2388442.60826306
"MA_Forest_Tufts_20_01",1972257.50412115,2391682.84838266
"MA_Forest_Tufts_20_05",1972700.91191772,2393352.50176358
"MA_Forest_Tufts_20_06",1972896.76766397,2392222.37515187
"MA_Forest_Tufts_20_07",1972187.29326096,2391918.78446042
"MA_Forest_Tufts_20_08",1971692.9565198,2390999.95363372
"MA_Forest_Tufts_20_11",1972691.38649498,2392621.75263562
"MA_Forest_Tufts_20_12",1971806.12393513,2391668.78470906
"MA_Forest_Tufts_20_13",1971875.41363237,2391423.35930233
"MA_Forest_Tufts_20_14",1971943.02676328,2391019.13132524
"ME_Forest_Piscataquis_County_20_01",2126196.28909111,2742189.43265893
"ME_Forest_Piscataquis_County_20_02",2126115.59162309,2743268.24942504
"ME_Forest_Piscataquis_County_20_03",2126036.06629465,2743453.64870299
"ME_Forest_Piscataquis_County_20_04",2125862.5476017,2743592.66620436
"ME_Forest_Piscataquis_County_20_05",2125689.90645783,2743748.19457363
"ME_Forest_Piscataquis_County_20_07",2125357.66060999,2743995.79205362
"ME_Forest_Piscataquis_County_20_09",2126248.72207463,2741984.40455271
"MI_Forest_Upper_Peninsula_20_01",651316.948850889,2658485.87319386
"MI_Forest_Upper_Peninsula_20_03",646934.032276727,2660596.89247605
